indicator,jenis_kelamin,usia_bulan,l,m,s,sd3neg,sd2neg,sd1neg,sd0,sd1,sd2,sd3
bbu,L,13,-0.15,9.9,0.1111,7.1,7.9,8.8,9.9,11,12.3,13.7
bbu,L,14,-0.15,10.1,0.1139,7.2,8.1,9,10.1,11.3,12.6,14
bbu,L,15,-0.15,10.3,0.1117,7.4,8.3,9.2,10.3,11.5,12.8,14.3
bbu,L,16,-0.15,10.5,0.1095,7.5,8.4,9.4,10.5,11.7,13.1,14.6
bbu,L,17,-0.15,10.7,0.1121,7.7,8.6,9.6,10.7,12,13.4,14.9
bbu,L,18,-0.15,10.9,0.1101,7.8,8.8,9.8,10.9,12.2,13.7,15.3
bbu,L,19,-0.15,11.1,0.1126,8,8.9,10,11.1,12.5,13.9,15.6
bbu,L,20,-0.15,11.3,0.115,8.1,9.1,10.1,11.3,12.7,14.2,15.9
bbu,L,21,-0.15,11.5,0.113,8.2,9.2,10.3,11.5,12.9,14.5,16.2
bbu,L,22,-0.15,11.8,0.1144,8.4,9.4,10.5,11.8,13.2,14.7,16.5
bbu,L,23,-0.15,12,0.1125,8.5,9.5,10.7,12,13.4,15,16.8
bbu,L,24,-0.15,12.2,0.1148,8.6,9.7,10.8,12.2,13.6,15.3,17.1
bbu,L,25,-0.15,12.4,0.1169,8.8,9.8,11,12.4,13.9,15.5,17.5
bbu,L,26,-0.15,12.5,0.116,8.9,10,11.2,12.5,14.1,15.8,17.8
bbu,L,27,-0.15,12.7,0.1181,9,10.1,11.3,12.7,14.3,16.1,18.1
bbu,L,28,-0.15,12.9,0.1163,9.1,10.2,11.5,12.9,14.5,16.3,18.4
bbu,L,29,-0.15,13.1,0.1183,9.2,10.4,11.7,13.1,14.8,16.6,18.7
bbu,L,30,-0.15,13.3,0.1203,9.4,10.5,11.8,13.3,15,16.9,19
bbu,L,31,-0.15,13.5,0.1185,9.5,10.7,12,13.5,15.2,17.1,19.3
bbu,L,32,-0.15,13.7,0.1204,9.6,10.8,12.1,13.7,15.4,17.4,19.6
bbu,L,33,-0.15,13.8,0.1196,9.7,10.9,12.3,13.8,15.6,17.6,19.9
bbu,L,34,-0.15,14,0.1214,9.8,11,12.4,14,15.8,17.8,20.2
bbu,L,35,-0.15,14.2,0.1197,9.9,11.2,12.6,14.2,16,18.1,20.4
bbu,L,36,-0.15,14.3,0.1224,10,11.3,12.7,14.3,16.2,18.3,20.7
bbu,L,37,-0.15,14.5,0.1207,10.1,11.4,12.9,14.5,16.4,18.6,21
bbu,L,38,-0.15,14.7,0.1224,10.2,11.5,13,14.7,16.6,18.8,21.3
bbu,L,39,-0.15,14.8,0.125,10.3,11.6,13.1,14.8,16.8,19,21.6
bbu,L,40,-0.15,15,0.1233,10.4,11.8,13.3,15,17,19.3,21.9
bbu,L,41,-0.15,15.2,0.125,10.5,11.9,13.4,15.2,17.2,19.5,22.1
bbu,L,42,-0.15,15.3,0.1242,10.6,12,13.6,15.3,17.4,19.7,22.4
bbu,L,43,-0.15,15.5,0.1258,10.7,12.1,13.7,15.5,17.6,20,22.7
bbu,L,44,-0.15,15.7,0.1274,10.8,12.2,13.8,15.7,17.8,20.2,23
bbu,L,45,-0.15,15.8,0.1266,10.9,12.4,14,15.8,18,20.5,23.3
bbu,L,46,-0.15,16,0.1281,11,12.5,14.1,16,18.2,20.7,23.6
bbu,L,47,-0.15,16.2,0.1265,11.1,12.6,14.3,16.2,18.4,20.9,23.9
bbu,L,48,-0.15,16.3,0.1288,11.2,12.7,14.4,16.3,18.6,21.2,24.2
bbu,L,49,-0.15,16.5,0.1303,11.3,12.8,14.5,16.5,18.8,21.4,24.5
bbu,L,50,-0.15,16.7,0.1287,11.4,12.9,14.7,16.7,19,21.7,24.8
bbu,L,51,-0.15,16.8,0.131,11.5,13.1,14.8,16.8,19.2,21.9,25.1
bbu,L,52,-0.15,17,0.1294,11.6,13.2,15,17,19.4,22.2,25.4
bbu,L,53,-0.15,17.2,0.1308,11.7,13.3,15.1,17.2,19.6,22.4,25.7
bbu,L,54,-0.15,17.3,0.1329,11.8,13.4,15.2,17.3,19.8,22.7,26
bbu,L,55,-0.15,17.5,0.1314,11.9,13.5,15.4,17.5,20,22.9,26.3
bbu,L,56,-0.15,17.7,0.1328,12,13.6,15.5,17.7,20.2,23.2,26.6
bbu,L,57,-0.15,17.8,0.1348,12.1,13.7,15.6,17.8,20.4,23.4,26.9
bbu,L,58,-0.15,18,0.1333,12.2,13.8,15.8,18,20.6,23.7,27.2
bbu,L,59,-0.15,18.2,0.1346,12.3,14,15.9,18.2,20.8,23.9,27.6
bbu,L,60,-0.15,18.3,0.1366,12.4,14.1,16,18.3,21,24.2,27.9
bbu,P,0,-0.15,3.2,0.1406,2,2.4,2.8,3.2,3.7,4.2,4.8
bbu,P,1,-0.15,4.2,0.1429,2.7,3.2,3.6,4.2,4.8,5.5,6.2
bbu,P,2,-0.15,5.1,0.1275,3.4,3.9,4.5,5.1,5.8,6.6,7.5
bbu,P,3,-0.15,5.8,0.1207,4,4.5,5.2,5.8,6.6,7.5,8.5
bbu,P,4,-0.15,6.4,0.125,4.4,5,5.7,6.4,7.3,8.2,9.3
bbu,P,5,-0.15,6.9,0.1232,4.8,5.4,6.1,6.9,7.8,8.8,10
bbu,P,6,-0.15,7.3,0.1164,5.1,5.7,6.5,7.3,8.2,9.3,10.6
bbu,P,7,-0.15,7.6,0.1184,5.3,6,6.8,7.6,8.6,9.8,11.1
bbu,P,8,-0.15,7.9,0.1266,5.6,6.3,7,7.9,9,10.2,11.6
bbu,P,9,-0.15,8.2,0.122,5.8,6.5,7.3,8.2,9.3,10.5,12
bbu,P,10,-0.15,8.5,0.1235,5.9,6.7,7.5,8.5,9.6,10.9,12.4
bbu,P,11,-0.15,8.7,0.1264,6.1,6.9,7.7,8.7,9.9,11.2,12.8
bbu,P,12,-0.15,8.9,0.1236,6.3,7,7.9,8.9,10.1,11.5,13.1
bbu,P,13,-0.15,9.2,0.125,6.4,7.2,8.1,9.2,10.4,11.8,13.5
bbu,P,14,-0.15,9.4,0.1223,6.6,7.4,8.3,9.4,10.6,12.1,13.8
bbu,P,15,-0.15,9.6,0.125,6.7,7.6,8.5,9.6,10.9,12.4,14.1
bbu,P,16,-0.15,9.8,0.1224,6.9,7.7,8.7,9.8,11.1,12.6,14.5
bbu,P,17,-0.15,10,0.125,7,7.9,8.9,10,11.4,12.9,14.8
bbu,P,18,-0.15,10.2,0.1225,7.2,8.1,9.1,10.2,11.6,13.2,15.1
bbu,P,19,-0.15,10.4,0.125,7.3,8.2,9.2,10.4,11.8,13.5,15.4
bbu,P,20,-0.15,10.6,0.1274,7.5,8.4,9.4,10.6,12.1,13.7,15.7
bbu,P,21,-0.15,10.9,0.1239,7.6,8.6,9.6,10.9,12.3,14,16
bbu,P,22,-0.15,11.1,0.1216,7.8,8.7,9.8,11.1,12.5,14.3,16.4
